|company_name|raised_amount_usd|market|funding_total_usd|status|country_code|city|funding_rounds|founded_year|sector|hasDotCom
727|NewsWhip|1100000.0|Social Media Monitoring|1100000|operating|USA|New York|3|2011.0|online platforms and marketplaces|0
728|Newsle|600000.0|Social Network Media|2649997|acquired|USA|San Francisco|4|2011.0|online platforms and marketplaces|0
729|Newzulu Limited|2500000.0|Crowdsourcing|2500000|operating|FRA|Paris|1|2013.0|online platforms and marketplaces|0
730|Nextt|700000.0|Social Media|700000|operating|USA|Madison|1|2012.0|online platforms and marketplaces|0
731|Niche|2500000.0|Social Media|3050000|operating|USA|New York|2|2013.0|online platforms and marketplaces|0
732|Nintu Oy|250000.0|Mobile Social|250000|operating|FIN|Helsinki|1|2013.0|online platforms and marketplaces|0
733|Nitch|72000.0|Social Media|72000|operating|USA|Minneapolis|1|2011.0|online platforms and marketplaces|0
734|NodePing|30000.0|Messaging|30000|operating|USA|Phoenix|1|2011.0|online platforms and marketplaces|0
735|Noise Freaks|10000.0|Social Network Media|10000|operating|HUN|Budapest|1|2010.0|online platforms and marketplaces|0
736|Noiz Analytics|163000.0|Social Media|163000|operating|CAN|Montréal|1|2007.0|online platforms and marketplaces|0
737|Nokori|200000.0|Messaging|200000|operating|USA|Burlingame|1|2013.0|online platforms and marketplaces|0
738|Nonabox|53968.0|Online Shopping|1660243|operating|ESP|Madrid|3|2011.0|online platforms and marketplaces|0
739|Noonswoon|400000.0|Social Network Media|400000|operating|THA||1|2013.0|online platforms and marketplaces|0
740|Notegraphy|260000.0|Social Media|260000|operating|ESP|Barcelona|1|2013.0|online platforms and marketplaces|0
741|Numerous|700000.0|Social Media|700000|operating|USA|Austin|1|2013.0|online platforms and marketplaces|0
742|OYE!|20000.0|Social Media|20000|operating|USA|Columbus|1|2013.0|online platforms and marketplaces|0
